Bill Of Materials,,,,,,
Report Written:,"Monday, September 18, 2023",,,,,
Design Path:,C:\Users\esazonov\Box\_Electronic designs\2023-09 FRIENDS monitor v4\ecig_msp430_v4.sch,,,,,
Design Title:,,,,,,
Created:,,,,,,
Last Saved:,9/18/2023 13:01,,,,,
Editing Time:,6636 min,,,,,
Units:,mm (precision 3),,,,,
,,,,,,
,,,,,,
ICs,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
AT42QT1011-TSHR,U5,,AT42QT1011-TSHR,1,0,
FT234XD-R,U6,,FT234XD-R,1,0,
LMV552,U2,,LMV552,1,0,
MCP73831-DFN,U3,LiPO Charger,MCP73831T-2ACI/MC,1,0,
MSP430G2433IRHB32R,U7,,MSP430G2433IRHB32R,1,0,
MX25L4006E,U1,IC FLASH 4MBIT 86MHZ 8USON,MX25L4006EZUI-12G TR ,1,0,
TPS70628DRVR,U4,LDO 2.8V,TPS70628DRVR,1,0,
Sub-total:,,,,7,0,
,,,,,,
Capacitors,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
C0402,C1,10uF,0402ZD475MAT2A,1,0,
C0402,"C2, C6, C9, C12",1uF,GRM155R61E105KA12D,4,0,
C0402,"C3, C5, C7-8, C11, C13",0.1uF, GRM155R71C104KA88D,6,0,
C0402,"C4, C14",2.2nF,GRM1555C1H222JA01D,2,0,
C0402,C10,10pF,04025A100JAT2A,1,0,
C0402,C15-16,6pF,GRM1555C2A6R0DA01D,2,0,
Sub-total:,,,,16,0,
,,,,,,
Diodes,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
LED0402,D1,LED Blue 0402,LB QH9G-N1OO-35-1,1,0,
LED0402,D2,LED Green 0402,LT QH9G-Q2OO-25-2Z4Y,1,0,
Sub-total:,,,,2,0,
,,,,,,
Connectors,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
501951-0430,"J2-6, J9-13",,,0,0,not a component - do not install
Micro USB - ZX62R-B-5P with GND,J1,USB Connectors MICRO B RECEPT RA SMT TOP MNT ,ZX62R-B-5P(30),1,0,
Sub-total:,,,,11,0,
,,,,,,
Resistors,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
R0402,"R1, R4",300,CRCW0402300RJNED,2,0,
R0402,R2,20K,ERJ-2RKF2002X,1,0,
R0402,"R3, R6-8, R10",1M,AC0402FR-071ML,5,0,
R0402,R5,47K,RC0402FR-0747KL,1,0,
R0402,R9,2K,CRCW04022K00FKEE,1,0,
R0402,R11,1K,RC0402JR-131KL,1,0,
R0402,"R12, R14-15",100K,RC0402JR-13100KL,3,0,
R0402,R13,10K,CRCW040210K0FKEDC,1,0,
Sub-total:,,,,15,0,
,,,,,,
Others,,,,,,
,,,,,,
Component,Names,Value,Part Number,Quantity,Cost,
744062102,L1,1000uH ,744062102,0,0,do not install
ABS05,OSC1,32768Khz Crystal,ABS05-32.768KHZ-9-T,1,0,
FB0402,F1,Ferrite bead,BLM15PX181SN1D,1,0,
Sub-total:,,,,3,0,
,,,,,,
Grand Totals,,,,,,
,,,,,,
,,,,Quantity,Cost,
,,,,43,0,
